Date,Open,High,Low,Close,Adj Close,Volume
6/1/2015,32.57,32.8475,31.120001,31.3575,28.621208,3514426800
7/1/2015,31.725,33.2425,29.805,30.325001,27.678802,4233122400
8/1/2015,30.375,30.6425,23,28.190001,25.730108,6427276400
9/1/2015,27.5375,29.2225,26.84,27.575001,25.282696,4826189200
10/1/2015,27.2675,30.305,26.827499,29.875,27.391499,4450048400
11/1/2015,30.200001,30.955,27.75,29.575001,27.116436,3002562400
12/1/2015,29.6875,29.965,26.205,26.315001,24.230722,3687660800
1/1/2016,25.6525,26.4625,23.0975,24.334999,22.407543,5087392000
2/1/2016,24.1175,24.7225,23.147499,24.172501,22.257919,3243450400
3/1/2016,24.4125,27.605,24.355,27.247499,25.225498,2984198400
4/1/2016,27.195,28.0975,23.127501,23.434999,21.695917,3489534800
